"filename", "language", "JSON", "JSON with Comments", "C#", "TypeScript", "HTML", "Database", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240812131323_ListItemsAdd.cs", "C#", 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 5, 50
"c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240819081738_ListNameAdd.Designer.cs", "C#", 0, 0, 525, 0, 0, 0, 0, 0, 0, 2, 200, 727
"c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240819081738_ListNameAdd.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240831141632_FamiliesCreatedDateTime.Designer.cs", "C#", 0, 0, 527, 0, 0, 0, 0, 0, 0, 2, 201, 730
"c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\20240831141632_FamiliesCreatedDateTime.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\k1212\Documents\FamilyApp\API\Data\Migrations\DataContextModelSnapshot.cs", "C#", 0, 0, 525, 0, 0, 0, 0, 0, 0, 1, 201, 727
"c:\Users\k1212\Documents\FamilyApp\API\Data\Seed.cs", "C#", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 12, 48
"c:\Users\k1212\Documents\FamilyApp\API\Data\UnitOfWork.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 11, 38
"c:\Users\k1212\Documents\FamilyApp\API\Data\UserRepository.cs", "C#", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 17, 97
"c:\Users\k1212\Documents\FamilyApp\API\Data\UserSeedData.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152
"c:\Users\k1212\Documents\FamilyApp\API\Entities\AppRole.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\k1212\Documents\FamilyApp\API\Entities\AppUser.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 8, 26
"c:\Users\k1212\Documents\FamilyApp\API\Entities\AppUserFamily.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\k1212\Documents\FamilyApp\API\Entities\AppUserRole.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\k1212\Documents\FamilyApp\API\Entities\Category.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\k1212\Documents\FamilyApp\API\Entities\Connection.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\k1212\Documents\FamilyApp\API\Entities\Family.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\k1212\Documents\FamilyApp\API\Entities\FamilyList.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\k1212\Documents\FamilyApp\API\Entities\FamilyPhoto.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\k1212\Documents\FamilyApp\API\Entities\Group.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\k1212\Documents\FamilyApp\API\Entities\Invitation.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Users\k1212\Documents\FamilyApp\API\Entities\ListItem.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\k1212\Documents\FamilyApp\API\Entities\Message.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\k1212\Documents\FamilyApp\API\Entities\UserPhoto.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\k1212\Documents\FamilyApp\API\Errors\ApiException.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\k1212\Documents\FamilyApp\API\Extensions\ApplicationServiceExtensions.cs", "C#", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\k1212\Documents\FamilyApp\API\Extensions\ClaimsPrincipalExtensions.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\k1212\Documents\FamilyApp\API\Extensions\DateTimeExtentions.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\k1212\Documents\FamilyApp\API\Extensions\HttpExtentions.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\k1212\Documents\FamilyApp\API\Extensions\IdentityServiceExtensions.cs", "C#", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\AutoMapperProfiles.cs", "C#", 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 8, 45
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\CloudinarySettings.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\FamilyListsParams.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\FamilyMemberParams.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\FamilyParams.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\InvitationsParams.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\LogUserActivity.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\MessageParams.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\PagedList.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\PaginationHeader.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\PaginationParams.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\k1212\Documents\FamilyApp\API\Helpers\UserParams.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IFamilyMemberRepository.cs", "C#", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IFamilyRepository.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IInvitationsRepository.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\k1212\Documents\FamilyApp\API\Intrfaces\IListsRepository.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
